PO#,Ship From,Destination,Status,Total Amount,Expected Arrival,Carrier Reference,Internal Notes
PO-304172,Tokyo Port,Dallas DC,DELIVERED,125294.54,2026-04-07 19:51:23,CARR-5978,
PO-435281,Berlin Factory,Tokyo Port,AT_PORT,42516.28,2026-03-27 19:51:23,CARR-2216,
PO-101376,Berlin Factory,Dallas DC,IN_TRANSIT,176145.47,2026-03-28 19:51:23,CARR-6933,Handle with care
PO-219434,Shanghai Port,Los Angeles Port,IN_TRANSIT,83034.98,2026-04-20 19:51:23,CARR-8636,
PO-997033,Rotterdam,Shanghai Port,IN_TRANSIT,10619.01,2026-04-21 19:51:23,CARR-3037,Handle with care
PO-934171,Rotterdam,Berlin Factory,DELIVERED,225642.48,2026-04-01 19:51:23,CARR-1854,
PO-356044,Berlin Factory,Dallas DC,IN_TRANSIT,216250.96,2026-04-05 19:51:23,CARR-9179,Handle with care
PO-954851,Tokyo Port,Dallas DC,DELAYED,145391.25,2026-04-04 19:51:23,CARR-2077,
PO-171023,Berlin Factory,Los Angeles Port,IN_TRANSIT,95242.12,2026-03-31 19:51:23,CARR-8703,
PO-287733,Berlin Factory,Los Angeles Port,AT_PORT,158613.91,2026-04-13 19:51:23,CARR-9120,
PO-517635,Los Angeles Port,Tokyo Port,IN_TRANSIT,72901.61,2026-04-12 19:51:23,CARR-7942,
PO-309740,Los Angeles Port,Rotterdam,DELIVERED,49272.05,2026-03-28 19:51:23,CARR-4216,Handle with care
PO-930626,Rotterdam,Dallas DC,AT_PORT,73943.88,2026-04-03 19:51:23,CARR-6186,
PO-691210,Los Angeles Port,Rotterdam,AT_PORT,13356.05,2026-04-04 19:51:23,CARR-8465,Handle with care
PO-534224,Dallas DC,Shanghai Port,DELAYED,214681.93,2026-04-13 19:51:23,CARR-7720,
PO-965085,Tokyo Port,Berlin Factory,IN_TRANSIT,225783.12,2026-04-08 19:51:23,CARR-6385,Handle with care
PO-716215,Rotterdam,Los Angeles Port,AT_PORT,54190.86,2026-04-08 19:51:23,CARR-4652,
PO-847031,Dallas DC,Los Angeles Port,DELIVERED,112223.93,2026-03-13 19:51:23,CARR-4349,Handle with care
PO-602719,Shanghai Port,Los Angeles Port,DELIVERED,240009.04,2026-03-30 19:51:23,CARR-8341,
PO-178505,Tokyo Port,Rotterdam,IN_TRANSIT,32374.05,2026-04-01 19:51:23,CARR-7183,
PO-654530,Los Angeles Port,Tokyo Port,DELAYED,129789.27,2026-04-20 19:51:23,CARR-6835,
PO-312310,Shanghai Port,Berlin Factory,DELAYED,153693.23,2026-03-14 19:51:23,CARR-4390,
PO-117895,Shanghai Port,Berlin Factory,DELIVERED,52615.17,2026-03-30 19:51:23,CARR-5615,
PO-372468,Los Angeles Port,Rotterdam,IN_TRANSIT,126780.35,2026-04-21 19:51:23,CARR-4909,
PO-472394,Los Angeles Port,Berlin Factory,IN_TRANSIT,89021.66,2026-03-23 19:51:23,CARR-3885,Handle with care
PO-925443,Rotterdam,Dallas DC,IN_TRANSIT,175378.73,2026-03-21 19:51:23,CARR-1028,
PO-822763,Rotterdam,Los Angeles Port,CUSTOMS_HOLD,60849.54,2026-03-29 19:51:23,CARR-9800,
PO-355183,Los Angeles Port,Shanghai Port,CUSTOMS_HOLD,88545.08,2026-03-14 19:51:23,CARR-5869,Handle with care
PO-998693,Tokyo Port,Berlin Factory,AT_PORT,145320.38,2026-03-22 19:51:23,CARR-1342,Handle with care
PO-259394,Tokyo Port,Shanghai Port,IN_TRANSIT,147429.61,2026-03-30 19:51:23,CARR-7738,
PO-634471,Berlin Factory,Shanghai Port,IN_TRANSIT,5509.03,2026-04-15 19:51:23,CARR-9484,
PO-560583,Shanghai Port,Rotterdam,AT_PORT,86565.93,2026-03-20 19:51:23,CARR-3991,
PO-775249,Shanghai Port,Dallas DC,IN_TRANSIT,228909.78,2026-03-29 19:51:23,CARR-9731,Handle with care
PO-798757,Rotterdam,Tokyo Port,DELIVERED,125721.62,2026-04-14 19:51:23,CARR-3700,
PO-618353,Rotterdam,Tokyo Port,IN_TRANSIT,40972.38,2026-03-16 19:51:23,CARR-1835,
PO-293912,Rotterdam,Berlin Factory,CUSTOMS_HOLD,33785.3,2026-03-27 19:51:23,CARR-3745,
PO-802002,Los Angeles Port,Rotterdam,DELAYED,168448.33,2026-03-27 19:51:23,CARR-9487,
PO-787315,Dallas DC,Tokyo Port,IN_TRANSIT,9082.75,2026-03-22 19:51:23,CARR-9030,Handle with care
PO-864808,Berlin Factory,Rotterdam,IN_TRANSIT,53384.44,2026-03-17 19:51:23,CARR-3748,
PO-609443,Berlin Factory,Dallas DC,IN_TRANSIT,102751.64,2026-04-19 19:51:23,CARR-8657,
PO-428814,Shanghai Port,Tokyo Port,IN_TRANSIT,56198.49,2026-03-14 19:51:23,CARR-9219,
PO-848369,Berlin Factory,Dallas DC,IN_TRANSIT,192320.51,2026-03-17 19:51:23,CARR-4047,
PO-480955,Rotterdam,Dallas DC,IN_TRANSIT,188104.63,2026-04-08 19:51:23,CARR-8164,
PO-484004,Los Angeles Port,Berlin Factory,IN_TRANSIT,9895.87,2026-03-26 19:51:23,CARR-3242,
PO-137703,Berlin Factory,Rotterdam,IN_TRANSIT,230640.56,2026-04-04 19:51:23,CARR-6668,
PO-720041,Dallas DC,Shanghai Port,DELIVERED,99008.37,2026-03-25 19:51:23,CARR-1728,
PO-368949,Los Angeles Port,Berlin Factory,IN_TRANSIT,188087.68,2026-04-17 19:51:23,CARR-9989,
PO-753721,Tokyo Port,Rotterdam,DELAYED,156302.22,2026-04-08 19:51:23,CARR-9041,Handle with care
PO-810823,Tokyo Port,Los Angeles Port,AT_PORT,200590.81,2026-04-21 19:51:23,CARR-6970,
PO-538906,Berlin Factory,Los Angeles Port,DELIVERED,10024.86,2026-03-20 19:51:23,CARR-2836,
PO-936123,Berlin Factory,Los Angeles Port,IN_TRANSIT,126552.82,2026-03-28 19:51:23,CARR-9425,Handle with care
PO-352269,Tokyo Port,Shanghai Port,IN_TRANSIT,46321.81,2026-04-14 19:51:23,CARR-8035,
PO-128803,Shanghai Port,Berlin Factory,DELIVERED,178594.28,2026-03-16 19:51:23,CARR-4859,
PO-115822,Berlin Factory,Tokyo Port,IN_TRANSIT,72492.53,2026-03-20 19:51:23,CARR-3186,Handle with care
PO-564535,Shanghai Port,Tokyo Port,AT_PORT,19453.54,2026-03-22 19:51:23,CARR-2044,Handle with care
PO-505973,Los Angeles Port,Rotterdam,AT_PORT,189794.23,2026-03-14 19:51:23,CARR-3365,
PO-406631,Rotterdam,Berlin Factory,IN_TRANSIT,129766.85,2026-03-18 19:51:23,CARR-2268,
PO-394774,Los Angeles Port,Berlin Factory,IN_TRANSIT,149689.72,2026-03-31 19:51:23,CARR-8266,
PO-652364,Shanghai Port,Los Angeles Port,DELIVERED,65722.15,2026-03-26 19:51:23,CARR-8230,
PO-488919,Tokyo Port,Dallas DC,AT_PORT,123066.73,2026-03-16 19:51:23,CARR-8145,
PO-711942,Berlin Factory,Rotterdam,AT_PORT,171491.72,2026-03-15 19:51:23,CARR-8925,
PO-357259,Berlin Factory,Los Angeles Port,DELIVERED,30801.53,2026-04-13 19:51:23,CARR-3280,Handle with care
PO-920640,Dallas DC,Los Angeles Port,IN_TRANSIT,216828.05,2026-03-24 19:51:23,CARR-4391,
PO-309593,Rotterdam,Shanghai Port,DELAYED,186725.82,2026-04-03 19:51:23,CARR-2751,
PO-619318,Rotterdam,Berlin Factory,IN_TRANSIT,120155.37,2026-04-14 19:51:23,CARR-6107,Handle with care
PO-698598,Tokyo Port,Berlin Factory,IN_TRANSIT,33165.77,2026-03-13 19:51:23,CARR-9126,
PO-883849,Dallas DC,Rotterdam,IN_TRANSIT,187910.52,2026-03-27 19:51:23,CARR-9419,Handle with care
PO-790939,Rotterdam,Berlin Factory,DELIVERED,26924.31,2026-03-27 19:51:23,CARR-6568,
PO-633362,Dallas DC,Los Angeles Port,AT_PORT,217413.66,2026-03-22 19:51:23,CARR-8257,
PO-139902,Shanghai Port,Berlin Factory,AT_PORT,180402.73,2026-03-20 19:51:23,CARR-3169,
PO-679731,Los Angeles Port,Dallas DC,CUSTOMS_HOLD,127118.26,2026-03-30 19:51:23,CARR-4000,
PO-885669,Tokyo Port,Dallas DC,DELIVERED,104795.41,2026-03-30 19:51:23,CARR-9956,
PO-891428,Los Angeles Port,Shanghai Port,IN_TRANSIT,166445.82,2026-03-29 19:51:23,CARR-7418,
PO-907216,Dallas DC,Shanghai Port,AT_PORT,72602.02,2026-03-18 19:51:23,CARR-2166,Handle with care
PO-162824,Berlin Factory,Dallas DC,AT_PORT,184936.16,2026-04-11 19:51:23,CARR-6594,
PO-196370,Dallas DC,Tokyo Port,IN_TRANSIT,224732.38,2026-04-17 19:51:23,CARR-8788,
PO-954538,Shanghai Port,Los Angeles Port,AT_PORT,21416.66,2026-04-22 19:51:23,CARR-5675,
PO-553470,Shanghai Port,Tokyo Port,IN_TRANSIT,192867.45,2026-04-04 19:51:23,CARR-2838,Handle with care
PO-370038,Berlin Factory,Tokyo Port,AT_PORT,225952.11,2026-04-10 19:51:23,CARR-8876,Handle with care
PO-641068,Los Angeles Port,Berlin Factory,IN_TRANSIT,107226.4,2026-04-03 19:51:23,CARR-8965,
PO-518091,Shanghai Port,Dallas DC,IN_TRANSIT,34596.4,2026-03-17 19:51:23,CARR-3520,Handle with care
PO-292092,Shanghai Port,Berlin Factory,IN_TRANSIT,192696.04,2026-04-16 19:51:23,CARR-1571,Handle with care
PO-647294,Tokyo Port,Berlin Factory,DELAYED,67201.51,2026-03-30 19:51:23,CARR-6881,
PO-897388,Berlin Factory,Shanghai Port,AT_PORT,229924.24,2026-03-26 19:51:23,CARR-2024,
PO-285580,Rotterdam,Shanghai Port,DELAYED,200724.68,2026-03-23 19:51:23,CARR-3170,
PO-855820,Shanghai Port,Rotterdam,IN_TRANSIT,165087.12,2026-03-30 19:51:23,CARR-2263,
PO-732680,Berlin Factory,Dallas DC,IN_TRANSIT,84295.08,2026-04-18 19:51:23,CARR-2300,
PO-180679,Dallas DC,Rotterdam,IN_TRANSIT,229451.61,2026-04-02 19:51:23,CARR-8252,
PO-194610,Shanghai Port,Los Angeles Port,DELIVERED,104743.82,2026-03-27 19:51:23,CARR-8058,
PO-205774,Rotterdam,Shanghai Port,DELIVERED,193964.73,2026-04-09 19:51:23,CARR-1876,
PO-220042,Tokyo Port,Rotterdam,IN_TRANSIT,68310.18,2026-03-18 19:51:23,CARR-8305,
PO-468928,Rotterdam,Los Angeles Port,IN_TRANSIT,215707.86,2026-04-14 19:51:23,CARR-1846,
PO-930614,Rotterdam,Tokyo Port,AT_PORT,174796.01,2026-03-25 19:51:23,CARR-6659,
PO-944581,Dallas DC,Rotterdam,IN_TRANSIT,116554.85,2026-04-09 19:51:23,CARR-4266,
PO-782000,Tokyo Port,Shanghai Port,AT_PORT,170829.56,2026-04-07 19:51:23,CARR-2233,
PO-591215,Berlin Factory,Rotterdam,IN_TRANSIT,194454.62,2026-03-19 19:51:23,CARR-2083,Handle with care
PO-465609,Dallas DC,Los Angeles Port,IN_TRANSIT,76783.91,2026-03-29 19:51:23,CARR-2752,
PO-234914,Shanghai Port,Rotterdam,AT_PORT,92163.79,2026-03-17 19:51:23,CARR-2968,Handle with care
PO-674978,Los Angeles Port,Rotterdam,IN_TRANSIT,13975.36,2026-04-14 19:51:23,CARR-7322,
PO-428155,Rotterdam,Los Angeles Port,IN_TRANSIT,160699.59,2026-03-26 19:51:23,CARR-9468,
PO-274639,Dallas DC,Berlin Factory,IN_TRANSIT,133614.04,2026-04-17 19:51:23,CARR-7239,
PO-900683,Tokyo Port,Berlin Factory,IN_TRANSIT,177492.58,2026-04-06 19:51:23,CARR-9502,
PO-902176,Shanghai Port,Los Angeles Port,AT_PORT,52344.39,2026-04-03 19:51:23,CARR-9104,
PO-906076,Berlin Factory,Los Angeles Port,IN_TRANSIT,113910.88,2026-03-27 19:51:23,CARR-3335,
PO-420369,Los Angeles Port,Berlin Factory,IN_TRANSIT,30645.24,2026-04-21 19:51:23,CARR-1977,
PO-508095,Berlin Factory,Dallas DC,CUSTOMS_HOLD,82109.04,2026-03-28 19:51:23,CARR-9898,
PO-727614,Rotterdam,Berlin Factory,CUSTOMS_HOLD,146654.33,2026-04-22 19:51:23,CARR-9569,
PO-904564,Dallas DC,Berlin Factory,IN_TRANSIT,96807.44,2026-04-03 19:51:23,CARR-3055,
PO-292723,Shanghai Port,Berlin Factory,IN_TRANSIT,25429.21,2026-04-10 19:51:23,CARR-5784,Handle with care
PO-464665,Rotterdam,Tokyo Port,AT_PORT,144742.83,2026-04-13 19:51:23,CARR-5200,
PO-728704,Rotterdam,Shanghai Port,IN_TRANSIT,130697.15,2026-04-03 19:51:23,CARR-8002,
PO-998239,Rotterdam,Tokyo Port,DELAYED,43285.54,2026-03-31 19:51:23,CARR-4661,
PO-107450,Tokyo Port,Rotterdam,IN_TRANSIT,40791.42,2026-04-19 19:51:23,CARR-1739,
PO-749299,Tokyo Port,Los Angeles Port,IN_TRANSIT,120282.82,2026-03-15 19:51:23,CARR-1672,Handle with care
PO-884124,Shanghai Port,Tokyo Port,DELIVERED,15799.24,2026-03-18 19:51:23,CARR-7211,
PO-554720,Shanghai Port,Berlin Factory,DELIVERED,33311.71,2026-04-08 19:51:23,CARR-9114,Handle with care
PO-741034,Berlin Factory,Rotterdam,IN_TRANSIT,29794.54,2026-03-22 19:51:23,CARR-4755,
PO-615174,Los Angeles Port,Tokyo Port,IN_TRANSIT,162262.88,2026-03-25 19:51:23,CARR-1028,Handle with care
PO-229616,Dallas DC,Berlin Factory,IN_TRANSIT,44288.01,2026-04-05 19:51:23,CARR-2553,
PO-175380,Shanghai Port,Los Angeles Port,DELAYED,249466.53,2026-04-04 19:51:23,CARR-9936,
PO-171466,Dallas DC,Shanghai Port,IN_TRANSIT,25706.0,2026-03-14 19:51:23,CARR-1689,
PO-831020,Tokyo Port,Shanghai Port,IN_TRANSIT,231140.9,2026-03-14 19:51:23,CARR-5772,
PO-134753,Los Angeles Port,Berlin Factory,IN_TRANSIT,220937.79,2026-03-26 19:51:23,CARR-9747,
PO-704970,Shanghai Port,Tokyo Port,IN_TRANSIT,210985.13,2026-03-18 19:51:23,CARR-7614,
PO-638123,Berlin Factory,Los Angeles Port,IN_TRANSIT,207215.98,2026-04-03 19:51:23,CARR-3765,
PO-118162,Dallas DC,Rotterdam,DELIVERED,53528.14,2026-03-29 19:51:23,CARR-7602,
PO-531105,Shanghai Port,Tokyo Port,IN_TRANSIT,170218.25,2026-03-26 19:51:23,CARR-5272,
PO-348710,Rotterdam,Tokyo Port,IN_TRANSIT,126209.22,2026-03-25 19:51:23,CARR-8953,
PO-286179,Shanghai Port,Tokyo Port,IN_TRANSIT,220858.51,2026-04-21 19:51:23,CARR-4665,
PO-590796,Shanghai Port,Los Angeles Port,CUSTOMS_HOLD,229060.15,2026-03-14 19:51:23,CARR-8515,
PO-440757,Dallas DC,Rotterdam,DELIVERED,117557.29,2026-03-26 19:51:23,CARR-7568,
PO-137000,Berlin Factory,Shanghai Port,IN_TRANSIT,199755.32,2026-04-08 19:51:23,CARR-1609,Handle with care
PO-212701,Rotterdam,Los Angeles Port,IN_TRANSIT,219483.95,2026-03-25 19:51:23,CARR-1737,
PO-896375,Dallas DC,Tokyo Port,IN_TRANSIT,158546.62,2026-04-07 19:51:23,CARR-7683,
PO-695957,Tokyo Port,Rotterdam,DELIVERED,30106.99,2026-03-20 19:51:23,CARR-8655,
PO-122114,Dallas DC,Berlin Factory,IN_TRANSIT,14295.44,2026-04-09 19:51:23,CARR-3985,Handle with care
PO-539972,Berlin Factory,Tokyo Port,IN_TRANSIT,182495.71,2026-03-31 19:51:23,CARR-9836,
PO-886123,Berlin Factory,Tokyo Port,IN_TRANSIT,168679.56,2026-04-15 19:51:23,CARR-3169,
PO-677233,Los Angeles Port,Shanghai Port,AT_PORT,43682.44,2026-03-27 19:51:23,CARR-9768,Handle with care
PO-230023,Los Angeles Port,Tokyo Port,IN_TRANSIT,44434.97,2026-04-13 19:51:23,CARR-2367,
PO-315169,Berlin Factory,Rotterdam,IN_TRANSIT,200478.19,2026-03-16 19:51:23,CARR-9074,
PO-203091,Dallas DC,Berlin Factory,IN_TRANSIT,177101.47,2026-04-12 19:51:23,CARR-4433,
PO-673353,Dallas DC,Shanghai Port,IN_TRANSIT,225005.57,2026-04-15 19:51:23,CARR-4933,
PO-218269,Shanghai Port,Tokyo Port,IN_TRANSIT,150598.15,2026-03-31 19:51:23,CARR-1240,
PO-478016,Los Angeles Port,Dallas DC,DELAYED,91149.85,2026-04-03 19:51:23,CARR-2674,
PO-208924,Berlin Factory,Rotterdam,IN_TRANSIT,226140.38,2026-04-16 19:51:23,CARR-1851,
PO-101051,Tokyo Port,Rotterdam,DELAYED,84544.63,2026-04-18 19:51:23,CARR-7688,
PO-140944,Tokyo Port,Dallas DC,IN_TRANSIT,115545.96,2026-04-04 19:51:23,CARR-4718,Handle with care
PO-592161,Dallas DC,Tokyo Port,AT_PORT,127034.49,2026-03-14 19:51:23,CARR-1840,
PO-239518,Dallas DC,Shanghai Port,AT_PORT,144210.86,2026-03-16 19:51:23,CARR-9905,
PO-755148,Berlin Factory,Rotterdam,IN_TRANSIT,127084.98,2026-04-04 19:51:23,CARR-2071,
PO-421598,Berlin Factory,Dallas DC,DELIVERED,195728.82,2026-03-23 19:51:23,CARR-1715,
PO-354058,Los Angeles Port,Shanghai Port,IN_TRANSIT,192444.4,2026-04-09 19:51:23,CARR-7119,
PO-800730,Rotterdam,Los Angeles Port,AT_PORT,164606.68,2026-04-05 19:51:23,CARR-4997,
PO-111246,Berlin Factory,Dallas DC,IN_TRANSIT,95565.51,2026-03-20 19:51:23,CARR-2292,
PO-628818,Los Angeles Port,Tokyo Port,AT_PORT,18503.51,2026-03-23 19:51:23,CARR-9376,
PO-631529,Shanghai Port,Los Angeles Port,IN_TRANSIT,246236.57,2026-03-30 19:51:23,CARR-3031,
PO-464486,Berlin Factory,Dallas DC,DELIVERED,48836.66,2026-04-13 19:51:23,CARR-1270,
PO-203529,Rotterdam,Tokyo Port,IN_TRANSIT,205503.09,2026-03-26 19:51:23,CARR-7603,Handle with care
PO-350187,Los Angeles Port,Rotterdam,IN_TRANSIT,176007.4,2026-04-07 19:51:23,CARR-9676,
PO-194544,Dallas DC,Los Angeles Port,DELAYED,42427.22,2026-04-14 19:51:23,CARR-1587,Handle with care
PO-660373,Tokyo Port,Los Angeles Port,DELAYED,213405.6,2026-04-02 19:51:23,CARR-7771,
PO-990188,Dallas DC,Shanghai Port,IN_TRANSIT,235517.75,2026-04-09 19:51:23,CARR-9365,
PO-136405,Los Angeles Port,Berlin Factory,IN_TRANSIT,83063.21,2026-03-16 19:51:23,CARR-3396,
PO-304282,Rotterdam,Shanghai Port,CUSTOMS_HOLD,73810.34,2026-03-14 19:51:23,CARR-8506,
PO-228073,Los Angeles Port,Dallas DC,IN_TRANSIT,28568.58,2026-04-03 19:51:23,CARR-1767,
PO-773573,Tokyo Port,Shanghai Port,DELIVERED,240518.74,2026-04-15 19:51:23,CARR-8611,
PO-183064,Los Angeles Port,Shanghai Port,DELAYED,243051.68,2026-03-20 19:51:23,CARR-9804,
PO-722627,Dallas DC,Los Angeles Port,IN_TRANSIT,237080.0,2026-04-10 19:51:23,CARR-3810,
PO-724613,Dallas DC,Los Angeles Port,DELIVERED,57881.48,2026-03-29 19:51:23,CARR-1591,
PO-624163,Rotterdam,Tokyo Port,IN_TRANSIT,224916.37,2026-03-31 19:51:23,CARR-6848,
PO-217138,Los Angeles Port,Berlin Factory,IN_TRANSIT,36632.22,2026-04-14 19:51:23,CARR-2966,Handle with care
PO-131585,Dallas DC,Berlin Factory,DELIVERED,116264.98,2026-03-16 19:51:23,CARR-4861,
PO-281193,Los Angeles Port,Dallas DC,IN_TRANSIT,37633.88,2026-04-20 19:51:23,CARR-6694,Handle with care
PO-540762,Tokyo Port,Berlin Factory,DELIVERED,194433.23,2026-04-17 19:51:23,CARR-9916,
PO-671390,Dallas DC,Tokyo Port,DELAYED,103285.51,2026-04-16 19:51:23,CARR-5165,
PO-854942,Los Angeles Port,Rotterdam,DELIVERED,200968.74,2026-03-22 19:51:23,CARR-1416,
PO-431830,Rotterdam,Shanghai Port,IN_TRANSIT,226461.14,2026-04-18 19:51:23,CARR-7964,
PO-349595,Shanghai Port,Tokyo Port,IN_TRANSIT,81184.02,2026-03-25 19:51:23,CARR-1806,
PO-922103,Los Angeles Port,Berlin Factory,CUSTOMS_HOLD,89836.71,2026-04-01 19:51:23,CARR-7177,
PO-955811,Tokyo Port,Los Angeles Port,AT_PORT,129361.88,2026-03-26 19:51:23,CARR-7691,Handle with care
PO-273665,Tokyo Port,Rotterdam,IN_TRANSIT,104401.74,2026-04-14 19:51:23,CARR-1094,
PO-612796,Dallas DC,Shanghai Port,IN_TRANSIT,212451.97,2026-03-16 19:51:23,CARR-7181,Handle with care
PO-809309,Tokyo Port,Los Angeles Port,IN_TRANSIT,183463.89,2026-04-13 19:51:23,CARR-6099,
PO-684844,Shanghai Port,Dallas DC,IN_TRANSIT,180878.66,2026-03-23 19:51:23,CARR-5602,
PO-908493,Shanghai Port,Dallas DC,AT_PORT,112062.11,2026-04-19 19:51:23,CARR-5261,
PO-710953,Tokyo Port,Rotterdam,IN_TRANSIT,195598.07,2026-03-17 19:51:23,CARR-9636,
PO-583523,Shanghai Port,Berlin Factory,AT_PORT,210269.85,2026-03-22 19:51:23,CARR-6121,
PO-662018,Dallas DC,Tokyo Port,AT_PORT,104673.1,2026-04-19 19:51:23,CARR-5803,
PO-169285,Shanghai Port,Rotterdam,DELIVERED,86633.61,2026-03-19 19:51:23,CARR-7411,Handle with care
PO-112746,Tokyo Port,Dallas DC,AT_PORT,72661.9,2026-03-16 19:51:23,CARR-1151,
PO-417229,Shanghai Port,Rotterdam,AT_PORT,137221.37,2026-03-23 19:51:23,CARR-6950,
PO-910845,Shanghai Port,Rotterdam,IN_TRANSIT,146131.13,2026-04-22 19:51:23,CARR-5977,
PO-588407,Rotterdam,Dallas DC,DELAYED,13170.78,2026-04-05 19:51:23,CARR-3351,
PO-756378,Berlin Factory,Los Angeles Port,AT_PORT,6040.77,2026-03-31 19:51:23,CARR-4489,
PO-539039,Tokyo Port,Berlin Factory,IN_TRANSIT,233399.84,2026-03-31 19:51:23,CARR-9802,
PO-347639,Rotterdam,Dallas DC,AT_PORT,220052.44,2026-04-16 19:51:23,CARR-1309,
PO-623271,Los Angeles Port,Tokyo Port,IN_TRANSIT,155470.96,2026-03-14 19:51:23,CARR-1748,Handle with care
PO-548995,Rotterdam,Tokyo Port,IN_TRANSIT,112602.24,2026-04-12 19:51:23,CARR-1868,
PO-250976,Berlin Factory,Rotterdam,DELIVERED,243685.41,2026-04-18 19:51:23,CARR-1310,
PO-670907,Los Angeles Port,Rotterdam,AT_PORT,38441.28,2026-04-06 19:51:23,CARR-5361,
PO-323205,Los Angeles Port,Shanghai Port,IN_TRANSIT,61396.61,2026-04-14 19:51:23,CARR-8962,
PO-510250,Los Angeles Port,Shanghai Port,DELIVERED,175820.6,2026-03-31 19:51:23,CARR-1714,
PO-695947,Berlin Factory,Tokyo Port,IN_TRANSIT,138601.76,2026-03-29 19:51:23,CARR-4218,
PO-946558,Shanghai Port,Rotterdam,AT_PORT,239780.61,2026-04-20 19:51:23,CARR-3312,Handle with care
PO-513008,Los Angeles Port,Dallas DC,IN_TRANSIT,116433.45,2026-04-12 19:51:23,CARR-3203,
PO-701089,Los Angeles Port,Shanghai Port,IN_TRANSIT,61631.12,2026-04-15 19:51:23,CARR-2526,Handle with care
PO-143315,Shanghai Port,Dallas DC,AT_PORT,50043.63,2026-04-06 19:51:23,CARR-3271,
PO-360342,Tokyo Port,Shanghai Port,IN_TRANSIT,110824.67,2026-03-19 19:51:23,CARR-9333,
PO-427720,Shanghai Port,Rotterdam,IN_TRANSIT,73602.74,2026-03-21 19:51:23,CARR-2274,
PO-864325,Berlin Factory,Tokyo Port,IN_TRANSIT,188509.72,2026-03-18 19:51:23,CARR-8151,
PO-991321,Tokyo Port,Shanghai Port,IN_TRANSIT,116722.26,2026-03-15 19:51:23,CARR-1180,
