Warehouse ID,Item Number,QOH,Incoming,Safety Limit,Bin Location
Dallas DC,SKU-869,58,161,221,BIN-37
Berlin Factory,SKU-798,9249,163,310,BIN-29
Berlin Factory,SKU-272,7664,447,486,BIN-25
Tokyo Port,SKU-732,4364,367,130,BIN-39
Dallas DC,SKU-472,3115,366,388,BIN-11
Tokyo Port,SKU-915,8203,81,141,BIN-29
Tokyo Port,SKU-409,3894,411,197,BIN-8
Berlin Factory,SKU-734,2072,37,363,BIN-4
Berlin Factory,SKU-650,53,382,131,BIN-34
Dallas DC,SKU-573,2906,403,166,BIN-38
Berlin Factory,SKU-738,8679,202,327,BIN-9
Dallas DC,SKU-873,6475,344,473,BIN-21
Tokyo Port,SKU-449,2930,392,292,BIN-29
Berlin Factory,SKU-388,7670,57,481,BIN-14
Dallas DC,SKU-922,889,416,469,BIN-38
Dallas DC,SKU-657,7587,368,278,BIN-10
Dallas DC,SKU-240,9543,153,400,BIN-32
Tokyo Port,SKU-377,3376,104,387,BIN-18
Dallas DC,SKU-950,1671,308,304,BIN-34
Berlin Factory,SKU-396,8697,225,452,BIN-32
Dallas DC,SKU-757,1215,282,489,BIN-28
Berlin Factory,SKU-147,8607,297,419,BIN-34
Dallas DC,SKU-219,7118,437,500,BIN-19
Tokyo Port,SKU-936,1501,233,252,BIN-30
Dallas DC,SKU-401,980,181,287,BIN-5
Tokyo Port,SKU-757,9151,37,362,BIN-26
Dallas DC,SKU-859,2801,110,446,BIN-25
Tokyo Port,SKU-319,2649,477,148,BIN-18
Tokyo Port,SKU-767,101,343,253,BIN-25
Berlin Factory,SKU-675,127,366,272,BIN-14
Tokyo Port,SKU-381,9073,266,305,BIN-30
Dallas DC,SKU-673,4229,231,394,BIN-27
Dallas DC,SKU-213,3204,493,500,BIN-12
Tokyo Port,SKU-702,2238,402,482,BIN-39
Tokyo Port,SKU-883,7611,96,196,BIN-14
Dallas DC,SKU-893,1761,162,219,BIN-39
Tokyo Port,SKU-567,9253,181,161,BIN-40
Dallas DC,SKU-147,9893,23,486,BIN-13
Tokyo Port,SKU-304,5992,292,118,BIN-26
Dallas DC,SKU-367,32,34,498,BIN-19
Berlin Factory,SKU-278,3365,403,399,BIN-18
Dallas DC,SKU-987,3682,131,458,BIN-17
Tokyo Port,SKU-830,6759,224,243,BIN-31
Tokyo Port,SKU-453,123,39,174,BIN-23
Tokyo Port,SKU-291,5303,318,221,BIN-40
Tokyo Port,SKU-150,412,43,125,BIN-6
Dallas DC,SKU-905,4816,118,497,BIN-40
Tokyo Port,SKU-840,3779,289,131,BIN-20
Berlin Factory,SKU-799,3635,321,160,BIN-34
Dallas DC,SKU-739,6797,108,300,BIN-23
Tokyo Port,SKU-322,1552,52,311,BIN-40
Tokyo Port,SKU-622,9189,196,145,BIN-37
Dallas DC,SKU-767,2871,385,317,BIN-18
Dallas DC,SKU-531,3877,414,175,BIN-23
Dallas DC,SKU-568,1450,324,289,BIN-29
Dallas DC,SKU-903,1853,357,261,BIN-17
Tokyo Port,SKU-932,4913,195,215,BIN-4
Dallas DC,SKU-391,4977,289,143,BIN-8
Berlin Factory,SKU-157,2135,467,144,BIN-7
Berlin Factory,SKU-144,7086,260,440,BIN-31
Tokyo Port,SKU-320,1604,61,312,BIN-5
Dallas DC,SKU-879,5688,98,310,BIN-11
Dallas DC,SKU-298,4987,350,357,BIN-7
Tokyo Port,SKU-377,1562,227,364,BIN-25
Tokyo Port,SKU-858,3213,187,447,BIN-13
Dallas DC,SKU-994,9203,56,405,BIN-39
Tokyo Port,SKU-374,8251,63,349,BIN-7
Berlin Factory,SKU-570,3986,199,320,BIN-18
Tokyo Port,SKU-104,6260,381,389,BIN-32
Tokyo Port,SKU-827,6187,315,480,BIN-35
Berlin Factory,SKU-862,1395,421,256,BIN-22
Berlin Factory,SKU-408,3676,95,369,BIN-15
Tokyo Port,SKU-307,2495,232,443,BIN-18
Berlin Factory,SKU-506,5739,494,382,BIN-33
Berlin Factory,SKU-331,418,87,227,BIN-5
Dallas DC,SKU-547,90,131,280,BIN-18
Dallas DC,SKU-573,4799,440,228,BIN-12
Tokyo Port,SKU-377,8444,483,334,BIN-23
Tokyo Port,SKU-551,1829,100,440,BIN-29
Dallas DC,SKU-829,9620,153,158,BIN-4
Tokyo Port,SKU-684,829,170,316,BIN-8
Dallas DC,SKU-343,6054,411,294,BIN-20
Berlin Factory,SKU-382,6142,240,264,BIN-29
Berlin Factory,SKU-139,7806,176,186,BIN-16
Berlin Factory,SKU-107,80,472,195,BIN-6
Dallas DC,SKU-106,4128,97,350,BIN-21
Berlin Factory,SKU-646,3199,29,187,BIN-6
Tokyo Port,SKU-573,9955,427,162,BIN-36
Dallas DC,SKU-617,2362,307,364,BIN-40
Tokyo Port,SKU-199,6334,490,145,BIN-39
Tokyo Port,SKU-419,4888,500,159,BIN-40
Tokyo Port,SKU-817,795,96,356,BIN-33
Tokyo Port,SKU-133,8472,68,346,BIN-15
Tokyo Port,SKU-226,7332,364,298,BIN-16
Dallas DC,SKU-147,5985,11,211,BIN-30
Berlin Factory,SKU-618,4496,256,435,BIN-9
Dallas DC,SKU-699,8760,78,287,BIN-26
Dallas DC,SKU-605,1756,442,159,BIN-39
Berlin Factory,SKU-409,2505,295,364,BIN-18
Dallas DC,SKU-637,8971,176,107,BIN-39
Tokyo Port,SKU-140,7483,442,274,BIN-20
Dallas DC,SKU-900,698,454,235,BIN-37
Tokyo Port,SKU-863,8698,433,424,BIN-4
Berlin Factory,SKU-963,5050,113,329,BIN-4
Tokyo Port,SKU-614,9507,174,411,BIN-29
Tokyo Port,SKU-484,5645,417,228,BIN-26
Tokyo Port,SKU-504,6833,151,463,BIN-38
Tokyo Port,SKU-851,3358,420,459,BIN-11
Berlin Factory,SKU-863,4808,484,421,BIN-3
Berlin Factory,SKU-901,6808,154,466,BIN-3
Berlin Factory,SKU-878,5831,359,113,BIN-26
Berlin Factory,SKU-237,1578,471,442,BIN-7
Berlin Factory,SKU-378,670,131,191,BIN-10
Tokyo Port,SKU-555,8010,0,419,BIN-13
Berlin Factory,SKU-727,7716,241,371,BIN-24
Dallas DC,SKU-579,8144,291,473,BIN-17
Tokyo Port,SKU-332,2358,348,121,BIN-4
Tokyo Port,SKU-194,4695,114,198,BIN-10
Berlin Factory,SKU-938,7278,357,430,BIN-6
Dallas DC,SKU-682,8157,174,222,BIN-24
Tokyo Port,SKU-323,509,75,112,BIN-26
Berlin Factory,SKU-477,63,304,438,BIN-26
Tokyo Port,SKU-436,7521,411,122,BIN-22
Berlin Factory,SKU-615,3787,370,292,BIN-25
Berlin Factory,SKU-557,3343,285,319,BIN-8
Berlin Factory,SKU-291,3344,379,277,BIN-10
Berlin Factory,SKU-124,1370,391,318,BIN-33
Dallas DC,SKU-427,5163,150,460,BIN-21
Tokyo Port,SKU-359,6732,283,230,BIN-28
Berlin Factory,SKU-450,8922,352,488,BIN-14
Tokyo Port,SKU-324,9639,203,348,BIN-30
Berlin Factory,SKU-229,5442,314,390,BIN-23
Berlin Factory,SKU-666,7912,19,131,BIN-39
Dallas DC,SKU-653,3184,160,319,BIN-11
Berlin Factory,SKU-465,5018,407,270,BIN-31
Dallas DC,SKU-748,1510,99,201,BIN-24
Tokyo Port,SKU-349,5252,177,255,BIN-3
Berlin Factory,SKU-243,2290,388,360,BIN-31
Berlin Factory,SKU-567,372,379,234,BIN-17
Berlin Factory,SKU-881,3567,105,284,BIN-15
Tokyo Port,SKU-117,6736,299,309,BIN-17
Berlin Factory,SKU-826,5143,488,241,BIN-23
Dallas DC,SKU-234,6250,93,109,BIN-4
Berlin Factory,SKU-171,5776,275,149,BIN-17
Tokyo Port,SKU-408,1369,462,339,BIN-12
Dallas DC,SKU-540,1249,456,259,BIN-38
Dallas DC,SKU-626,6434,143,287,BIN-4
Tokyo Port,SKU-774,9063,383,277,BIN-36
Tokyo Port,SKU-357,4038,97,380,BIN-37
Dallas DC,SKU-411,1916,41,228,BIN-39
Dallas DC,SKU-117,4769,395,132,BIN-9
Dallas DC,SKU-264,1820,455,478,BIN-34
Tokyo Port,SKU-105,4463,425,160,BIN-33
Berlin Factory,SKU-283,9063,328,327,BIN-9
Berlin Factory,SKU-597,7298,203,427,BIN-31
Berlin Factory,SKU-244,3113,100,188,BIN-5
Berlin Factory,SKU-727,157,437,293,BIN-6
Dallas DC,SKU-839,8861,111,190,BIN-4
Berlin Factory,SKU-601,1689,28,159,BIN-31
Dallas DC,SKU-286,1259,98,328,BIN-39
Tokyo Port,SKU-238,440,222,267,BIN-3
Dallas DC,SKU-819,9199,70,367,BIN-20
Dallas DC,SKU-554,4361,220,474,BIN-17
Dallas DC,SKU-957,3327,206,492,BIN-32
Tokyo Port,SKU-104,1164,422,397,BIN-15
Tokyo Port,SKU-606,9783,301,309,BIN-4
Berlin Factory,SKU-712,2140,3,228,BIN-5
Berlin Factory,SKU-525,6774,255,202,BIN-9
Tokyo Port,SKU-771,7472,364,286,BIN-6
Dallas DC,SKU-441,6053,190,313,BIN-32
Tokyo Port,SKU-596,489,125,102,BIN-3
Tokyo Port,SKU-405,1593,193,360,BIN-14
Berlin Factory,SKU-657,2243,290,422,BIN-23
Berlin Factory,SKU-326,7131,172,449,BIN-26
Berlin Factory,SKU-367,8796,185,277,BIN-17
Tokyo Port,SKU-625,6348,154,239,BIN-2
Berlin Factory,SKU-656,1741,468,280,BIN-21
Dallas DC,SKU-114,9922,313,402,BIN-1
Berlin Factory,SKU-356,2442,370,144,BIN-33
Dallas DC,SKU-346,7996,490,221,BIN-30
Dallas DC,SKU-319,1331,36,296,BIN-8
Tokyo Port,SKU-974,9086,125,491,BIN-18
Berlin Factory,SKU-618,2061,365,452,BIN-13
Dallas DC,SKU-381,1697,486,460,BIN-21
Berlin Factory,SKU-345,8565,6,394,BIN-13
Tokyo Port,SKU-960,4547,481,291,BIN-24
Tokyo Port,SKU-545,5964,402,168,BIN-4
Dallas DC,SKU-425,1053,437,188,BIN-36
Dallas DC,SKU-297,9620,244,172,BIN-13
Dallas DC,SKU-186,7002,407,381,BIN-11
Berlin Factory,SKU-451,97,465,237,BIN-12
Tokyo Port,SKU-718,4833,461,193,BIN-29
Dallas DC,SKU-503,3162,354,255,BIN-6
Tokyo Port,SKU-609,428,282,117,BIN-27
Dallas DC,SKU-978,579,327,116,BIN-21
Tokyo Port,SKU-359,7756,139,199,BIN-30
Tokyo Port,SKU-991,2331,189,446,BIN-8
Dallas DC,SKU-165,622,448,190,BIN-18
Tokyo Port,SKU-903,7535,69,153,BIN-36
Berlin Factory,SKU-466,1205,135,262,BIN-7
Berlin Factory,SKU-389,72,405,291,BIN-30
Dallas DC,SKU-823,1846,390,427,BIN-33
Berlin Factory,SKU-387,445,366,195,BIN-27
Berlin Factory,SKU-536,2406,410,215,BIN-30
Dallas DC,SKU-457,3409,78,211,BIN-34
Berlin Factory,SKU-780,3291,36,235,BIN-5
Dallas DC,SKU-741,3853,473,394,BIN-21
Tokyo Port,SKU-898,4300,83,304,BIN-29
Tokyo Port,SKU-818,314,226,496,BIN-15
Dallas DC,SKU-970,7866,461,295,BIN-20
Berlin Factory,SKU-341,6853,153,199,BIN-6
Tokyo Port,SKU-103,5777,256,269,BIN-2
Berlin Factory,SKU-897,9899,328,458,BIN-11
Dallas DC,SKU-965,9843,72,294,BIN-22
Tokyo Port,SKU-279,6224,480,146,BIN-22
Tokyo Port,SKU-933,4167,339,192,BIN-7
Tokyo Port,SKU-322,8249,19,157,BIN-4
Tokyo Port,SKU-557,5718,51,204,BIN-30
Berlin Factory,SKU-208,6638,23,211,BIN-37
Dallas DC,SKU-911,6104,295,157,BIN-3
Tokyo Port,SKU-917,1778,297,119,BIN-6
Dallas DC,SKU-389,8621,139,430,BIN-33
Dallas DC,SKU-599,5166,178,273,BIN-7
Dallas DC,SKU-975,8173,361,339,BIN-25
Berlin Factory,SKU-717,7021,168,164,BIN-11
Berlin Factory,SKU-636,5631,168,294,BIN-4
Berlin Factory,SKU-293,6031,291,444,BIN-4
Berlin Factory,SKU-982,8928,478,174,BIN-9
Dallas DC,SKU-448,6684,204,369,BIN-4
Berlin Factory,SKU-513,861,35,470,BIN-30
Dallas DC,SKU-756,990,146,385,BIN-33
Berlin Factory,SKU-768,4610,192,268,BIN-26
Dallas DC,SKU-822,5540,349,414,BIN-32
Berlin Factory,SKU-855,4964,180,284,BIN-36
Berlin Factory,SKU-486,8331,200,135,BIN-20
Berlin Factory,SKU-357,4686,124,273,BIN-22
Tokyo Port,SKU-712,8906,419,238,BIN-38
Tokyo Port,SKU-119,5643,306,129,BIN-5
Tokyo Port,SKU-900,871,481,334,BIN-31
Tokyo Port,SKU-454,5704,278,441,BIN-27
Berlin Factory,SKU-854,9679,491,472,BIN-26
Berlin Factory,SKU-723,4882,26,377,BIN-37
Tokyo Port,SKU-593,4435,347,165,BIN-23
Tokyo Port,SKU-451,8916,370,179,BIN-9
Dallas DC,SKU-196,1797,441,347,BIN-31
Tokyo Port,SKU-108,9739,97,296,BIN-16
Tokyo Port,SKU-940,2951,306,245,BIN-13
Dallas DC,SKU-607,2503,487,304,BIN-7
Berlin Factory,SKU-324,8598,343,144,BIN-11
Tokyo Port,SKU-677,9868,103,480,BIN-35
Berlin Factory,SKU-375,1396,390,233,BIN-21
Berlin Factory,SKU-987,1241,466,117,BIN-6
Dallas DC,SKU-556,1941,234,187,BIN-35
Tokyo Port,SKU-494,9919,249,399,BIN-11
Tokyo Port,SKU-371,7541,220,403,BIN-7
Berlin Factory,SKU-506,8243,108,217,BIN-18
Tokyo Port,SKU-880,253,89,424,BIN-32
Tokyo Port,SKU-151,3693,182,363,BIN-23
Berlin Factory,SKU-848,8171,277,124,BIN-15
Dallas DC,SKU-793,2660,187,494,BIN-30
Dallas DC,SKU-570,2293,112,388,BIN-13
Tokyo Port,SKU-156,2651,99,472,BIN-13
Dallas DC,SKU-302,9926,248,201,BIN-6
Dallas DC,SKU-765,7438,354,370,BIN-26
Dallas DC,SKU-947,243,463,442,BIN-39
Berlin Factory,SKU-395,5337,176,491,BIN-10
Tokyo Port,SKU-867,7937,246,383,BIN-35
Dallas DC,SKU-839,3631,72,117,BIN-5
Tokyo Port,SKU-643,6339,474,211,BIN-1
Dallas DC,SKU-714,1489,319,122,BIN-3
Tokyo Port,SKU-150,2388,127,360,BIN-27
Berlin Factory,SKU-891,6608,188,363,BIN-24
Tokyo Port,SKU-593,8149,499,184,BIN-3
Tokyo Port,SKU-954,2248,215,474,BIN-6
Tokyo Port,SKU-547,5296,488,161,BIN-20
Dallas DC,SKU-380,7747,152,393,BIN-13
Dallas DC,SKU-478,9488,350,128,BIN-22
Berlin Factory,SKU-114,6437,106,389,BIN-20
Berlin Factory,SKU-550,8925,137,462,BIN-6
Berlin Factory,SKU-134,6007,446,354,BIN-29
Tokyo Port,SKU-541,953,59,258,BIN-6
Tokyo Port,SKU-321,377,313,186,BIN-30
Dallas DC,SKU-577,6915,479,140,BIN-7
Dallas DC,SKU-148,7551,171,221,BIN-39
Dallas DC,SKU-224,8735,62,238,BIN-19
Dallas DC,SKU-533,832,365,148,BIN-14
Berlin Factory,SKU-767,2359,21,292,BIN-40
Dallas DC,SKU-702,6915,467,104,BIN-16
Tokyo Port,SKU-260,733,393,171,BIN-32
Berlin Factory,SKU-602,3655,315,206,BIN-33
Tokyo Port,SKU-959,6178,486,486,BIN-36
Berlin Factory,SKU-819,6541,40,143,BIN-19
Dallas DC,SKU-137,8453,49,140,BIN-5
Dallas DC,SKU-280,3213,434,251,BIN-19
Tokyo Port,SKU-830,438,91,441,BIN-35
Tokyo Port,SKU-602,7210,156,370,BIN-13
Berlin Factory,SKU-549,3996,8,465,BIN-26
Tokyo Port,SKU-160,6947,94,485,BIN-27
Tokyo Port,SKU-382,7517,113,127,BIN-6
Tokyo Port,SKU-186,2674,111,171,BIN-18
Berlin Factory,SKU-705,3764,124,236,BIN-26
Berlin Factory,SKU-277,2037,485,418,BIN-29
Dallas DC,SKU-517,2169,62,146,BIN-7
Berlin Factory,SKU-857,551,128,271,BIN-24
Berlin Factory,SKU-266,3085,332,326,BIN-18
Dallas DC,SKU-171,2180,463,488,BIN-15
Tokyo Port,SKU-664,9314,461,250,BIN-9
Dallas DC,SKU-588,9760,340,304,BIN-21
Tokyo Port,SKU-229,2140,421,420,BIN-37
Tokyo Port,SKU-482,2557,167,481,BIN-13
Berlin Factory,SKU-712,2648,161,457,BIN-34
Dallas DC,SKU-375,8120,98,350,BIN-23
Tokyo Port,SKU-156,5006,351,150,BIN-38
Dallas DC,SKU-124,1638,387,206,BIN-15
Tokyo Port,SKU-754,2246,340,105,BIN-12
Tokyo Port,SKU-481,4831,170,455,BIN-16
Tokyo Port,SKU-444,852,216,418,BIN-7
Dallas DC,SKU-213,8896,155,291,BIN-9
Tokyo Port,SKU-725,3715,495,462,BIN-19
Dallas DC,SKU-467,9646,320,272,BIN-30
Berlin Factory,SKU-770,3427,386,470,BIN-4
Berlin Factory,SKU-591,5584,251,132,BIN-24
Berlin Factory,SKU-696,4344,47,312,BIN-2
Berlin Factory,SKU-694,6102,145,280,BIN-29
Berlin Factory,SKU-703,4911,97,305,BIN-30
Berlin Factory,SKU-231,8952,464,229,BIN-24
Dallas DC,SKU-937,5920,477,318,BIN-2
Tokyo Port,SKU-395,3923,427,136,BIN-33
Tokyo Port,SKU-996,3673,424,255,BIN-22
Dallas DC,SKU-583,5907,282,262,BIN-6
Tokyo Port,SKU-540,9690,500,230,BIN-28
Berlin Factory,SKU-879,4262,178,303,BIN-5
Tokyo Port,SKU-751,8581,42,352,BIN-14
Berlin Factory,SKU-875,4823,343,173,BIN-6
Tokyo Port,SKU-550,9872,412,180,BIN-27
Tokyo Port,SKU-997,9633,97,345,BIN-14
Berlin Factory,SKU-543,5493,70,472,BIN-35
Tokyo Port,SKU-188,247,454,197,BIN-14
Berlin Factory,SKU-816,6601,304,410,BIN-30
Berlin Factory,SKU-416,4382,496,365,BIN-39
Dallas DC,SKU-873,3445,337,230,BIN-38
Tokyo Port,SKU-172,5348,26,349,BIN-22
Berlin Factory,SKU-975,2626,206,217,BIN-37
Berlin Factory,SKU-219,5552,99,154,BIN-24
Berlin Factory,SKU-795,6763,74,398,BIN-22
Dallas DC,SKU-965,5244,112,143,BIN-35
Berlin Factory,SKU-663,5212,26,457,BIN-10
Tokyo Port,SKU-846,4158,26,115,BIN-36
Tokyo Port,SKU-949,2386,47,396,BIN-29
Berlin Factory,SKU-985,7591,489,245,BIN-6
Dallas DC,SKU-225,663,1,381,BIN-18
Dallas DC,SKU-406,6661,126,198,BIN-1
Berlin Factory,SKU-420,1266,246,287,BIN-8
Dallas DC,SKU-502,1050,262,481,BIN-32
Tokyo Port,SKU-134,8891,342,331,BIN-26
Berlin Factory,SKU-365,3469,331,271,BIN-31
Tokyo Port,SKU-394,6198,295,326,BIN-32
Dallas DC,SKU-549,7851,431,205,BIN-1
Dallas DC,SKU-583,7856,136,360,BIN-23
Dallas DC,SKU-934,5482,290,473,BIN-11
Tokyo Port,SKU-247,482,199,257,BIN-23
Dallas DC,SKU-963,4647,477,178,BIN-9
Tokyo Port,SKU-355,5725,17,459,BIN-38
Berlin Factory,SKU-910,7913,282,156,BIN-23
Tokyo Port,SKU-259,6270,369,258,BIN-29
Berlin Factory,SKU-555,2399,269,124,BIN-5
Berlin Factory,SKU-977,4063,160,495,BIN-33
Dallas DC,SKU-156,1641,188,220,BIN-37
Berlin Factory,SKU-699,3774,230,442,BIN-37
Dallas DC,SKU-130,3308,83,358,BIN-4
Dallas DC,SKU-938,5079,116,259,BIN-5
Berlin Factory,SKU-177,980,172,368,BIN-36
Dallas DC,SKU-700,7376,84,216,BIN-5
Dallas DC,SKU-217,7666,304,459,BIN-39
Berlin Factory,SKU-535,2092,451,380,BIN-36
Dallas DC,SKU-511,2988,305,308,BIN-34
Dallas DC,SKU-400,2827,150,478,BIN-32
Dallas DC,SKU-730,6332,398,317,BIN-5
Dallas DC,SKU-932,5938,115,387,BIN-18
Berlin Factory,SKU-578,6075,317,309,BIN-28
Dallas DC,SKU-724,7530,291,124,BIN-22
Dallas DC,SKU-467,7598,381,390,BIN-38
Tokyo Port,SKU-800,1319,117,450,BIN-10
Dallas DC,SKU-402,6516,475,105,BIN-1
Dallas DC,SKU-660,9077,418,196,BIN-5
Berlin Factory,SKU-300,3394,80,167,BIN-15
Berlin Factory,SKU-684,8301,268,346,BIN-32
Dallas DC,SKU-258,3148,94,110,BIN-3
Berlin Factory,SKU-999,3473,329,158,BIN-18
Tokyo Port,SKU-947,5165,414,198,BIN-1
Tokyo Port,SKU-402,8321,365,138,BIN-11
Berlin Factory,SKU-198,7790,87,104,BIN-1
Tokyo Port,SKU-266,8983,183,177,BIN-16
Dallas DC,SKU-981,883,65,198,BIN-17
Dallas DC,SKU-736,5315,203,131,BIN-12
Dallas DC,SKU-954,7167,465,245,BIN-8
Berlin Factory,SKU-588,9951,285,324,BIN-24
Dallas DC,SKU-145,5052,48,421,BIN-23
Berlin Factory,SKU-332,2677,289,294,BIN-34
Tokyo Port,SKU-211,5388,415,311,BIN-16
Berlin Factory,SKU-982,3194,471,364,BIN-30
Berlin Factory,SKU-189,324,186,210,BIN-12
Dallas DC,SKU-329,1022,347,235,BIN-40
Berlin Factory,SKU-399,7687,304,274,BIN-9
Dallas DC,SKU-505,938,133,252,BIN-39
Berlin Factory,SKU-808,9046,14,147,BIN-9
Tokyo Port,SKU-677,3230,68,240,BIN-30
Berlin Factory,SKU-468,351,410,131,BIN-39
Dallas DC,SKU-449,7118,476,381,BIN-9
Dallas DC,SKU-399,5469,303,166,BIN-39
Tokyo Port,SKU-403,8727,227,480,BIN-13
Dallas DC,SKU-243,5245,276,472,BIN-21
Berlin Factory,SKU-136,8471,154,284,BIN-32
Berlin Factory,SKU-650,826,284,173,BIN-7
Dallas DC,SKU-990,7397,380,355,BIN-8
Berlin Factory,SKU-168,8920,51,355,BIN-35
Dallas DC,SKU-488,6438,331,108,BIN-29
Berlin Factory,SKU-390,2663,180,457,BIN-26
Dallas DC,SKU-243,8213,22,344,BIN-39
Dallas DC,SKU-819,638,357,447,BIN-5
Berlin Factory,SKU-336,3860,260,432,BIN-30
Dallas DC,SKU-371,2404,448,436,BIN-10
Dallas DC,SKU-763,3324,4,231,BIN-6
Berlin Factory,SKU-810,5939,158,285,BIN-8
Berlin Factory,SKU-616,50,130,395,BIN-4
Dallas DC,SKU-405,4857,242,424,BIN-11
Dallas DC,SKU-167,1203,89,157,BIN-39
Berlin Factory,SKU-975,1156,225,368,BIN-8
Tokyo Port,SKU-637,8368,479,398,BIN-40
Berlin Factory,SKU-440,6021,73,386,BIN-34
Berlin Factory,SKU-963,8836,21,129,BIN-7
Dallas DC,SKU-149,6958,189,200,BIN-21
Dallas DC,SKU-450,7134,312,128,BIN-3
Dallas DC,SKU-858,4781,487,308,BIN-17
Tokyo Port,SKU-473,4361,474,397,BIN-33
Tokyo Port,SKU-716,2133,202,461,BIN-28
Berlin Factory,SKU-372,6760,133,166,BIN-12
Tokyo Port,SKU-849,6156,254,318,BIN-32
Dallas DC,SKU-502,6045,399,383,BIN-27
Dallas DC,SKU-479,1331,464,235,BIN-19
Tokyo Port,SKU-737,8202,49,391,BIN-24
Berlin Factory,SKU-688,1351,3,120,BIN-14
Tokyo Port,SKU-322,8100,477,312,BIN-4
Tokyo Port,SKU-870,7904,110,240,BIN-17
Tokyo Port,SKU-610,5351,194,222,BIN-12
Dallas DC,SKU-995,4408,334,455,BIN-19
Tokyo Port,SKU-563,2825,140,467,BIN-34
Tokyo Port,SKU-972,550,165,244,BIN-31
Berlin Factory,SKU-471,8564,499,192,BIN-11
Tokyo Port,SKU-604,1924,342,435,BIN-14
Tokyo Port,SKU-497,4227,121,199,BIN-15
Tokyo Port,SKU-544,5748,473,481,BIN-33
Dallas DC,SKU-231,9086,402,273,BIN-4
Tokyo Port,SKU-238,9053,189,131,BIN-1
Tokyo Port,SKU-434,1626,249,267,BIN-38
Tokyo Port,SKU-494,3350,451,400,BIN-18
Berlin Factory,SKU-808,4162,300,435,BIN-3
Dallas DC,SKU-115,655,78,193,BIN-24
Berlin Factory,SKU-875,5588,213,330,BIN-1
Dallas DC,SKU-150,4418,231,306,BIN-34
Dallas DC,SKU-613,9371,143,411,BIN-2
Berlin Factory,SKU-454,7755,265,463,BIN-6
Berlin Factory,SKU-207,2227,13,299,BIN-27
Berlin Factory,SKU-929,1850,285,149,BIN-25
Dallas DC,SKU-994,6042,152,108,BIN-14
Dallas DC,SKU-490,2730,15,454,BIN-38
Dallas DC,SKU-278,1978,336,157,BIN-33
Berlin Factory,SKU-991,5447,258,244,BIN-6
Dallas DC,SKU-920,9585,69,272,BIN-26
Berlin Factory,SKU-882,6169,236,213,BIN-28
