shipment_id,po_number,origin_node,destination_node,carrier,route,cargo_type,contract_type,customer_tier,total_value_usd,total_cost_usd,credit_days,expected_arrival_utc
CRIT-B8E9E844,PO-65349,CN,US_EAST,MSC,CN-US_EAST,perishable,strict,enterprise,504385,133318,30,2026-05-15T13:27:05Z
CRIT-A206053E,PO-40190,CN,EU,Hapag-Lloyd,CN-EU,perishable,strict,enterprise,2336408,81356,30,2026-05-14T13:27:05Z
CRIT-2102A4E6,PO-35802,CN,US_EAST,MSC,CN-US_EAST,perishable,strict,enterprise,1580268,96124,30,2026-05-16T13:27:05Z
CRIT-27AA6224,PO-50047,CN,EU,Maersk,CN-EU,pharmaceutical,strict,enterprise,517485,189084,30,2026-05-14T13:27:05Z
CRIT-53499A3E,PO-51707,CN,EU,MSC,CN-EU,pharmaceutical,strict,enterprise,2000908,98160,30,2026-05-11T13:27:05Z
CRIT-ADA5546E,PO-94869,CN,EU,Hapag-Lloyd,CN-EU,electronics,strict,enterprise,1051502,68171,30,2026-05-16T13:27:05Z
CRIT-D8368D9B,PO-21663,TW,US_WEST,Hapag-Lloyd,TW-US_WEST,pharmaceutical,strict,enterprise,1508317,79580,30,2026-05-12T13:27:05Z
CRIT-6D0EF950,PO-47094,TW,US_WEST,Maersk,TW-US_WEST,perishable,strict,enterprise,1611024,186814,30,2026-05-08T13:27:05Z
CRIT-47FCE0CA,PO-31321,CN,EU,Hapag-Lloyd,CN-EU,electronics,strict,enterprise,590586,112533,30,2026-05-08T13:27:05Z
CRIT-D9A7E00C,PO-22085,CN,EU,MSC,CN-EU,electronics,strict,enterprise,2293582,145811,30,2026-05-10T13:27:05Z
CRIT-848FCA8C,PO-63524,CN,US_EAST,MSC,CN-US_EAST,perishable,strict,enterprise,1453264,125588,30,2026-05-15T13:27:05Z
CRIT-E84CAF14,PO-87449,TW,US_WEST,Evergreen,TW-US_WEST,electronics,strict,enterprise,828401,63575,30,2026-05-09T13:27:05Z
CRIT-62737420,PO-70707,TW,US_WEST,Hapag-Lloyd,TW-US_WEST,electronics,strict,enterprise,1882319,94018,30,2026-05-13T13:27:05Z
CRIT-7BE052BD,PO-56307,CN,EU,MSC,CN-EU,electronics,strict,enterprise,2156624,179139,30,2026-05-17T13:27:05Z
CRIT-105F4AED,PO-19886,CN,EU,MSC,CN-EU,perishable,strict,enterprise,1506828,67348,30,2026-05-08T13:27:05Z
CRIT-C9DB10DA,PO-71852,CN,US_EAST,Evergreen,CN-US_EAST,perishable,strict,enterprise,1353553,73872,30,2026-05-12T13:27:05Z
CRIT-8E39C473,PO-20602,TW,US_WEST,MSC,TW-US_WEST,perishable,strict,enterprise,717460,114390,30,2026-05-15T13:27:05Z
CRIT-9C5883D2,PO-31503,CN,EU,MSC,CN-EU,pharmaceutical,strict,enterprise,1222997,192827,30,2026-05-11T13:27:05Z
CRIT-ED8AD402,PO-98086,TW,US_WEST,Maersk,TW-US_WEST,pharmaceutical,strict,enterprise,2081428,115133,30,2026-05-20T13:27:05Z
CRIT-CD1E49C1,PO-97593,TW,US_WEST,Hapag-Lloyd,TW-US_WEST,electronics,strict,enterprise,1076016,83099,30,2026-05-10T13:27:05Z
CRIT-05456B62,PO-54601,TW,US_WEST,Hapag-Lloyd,TW-US_WEST,pharmaceutical,strict,enterprise,835356,186230,30,2026-05-13T13:27:05Z
CRIT-9B35882F,PO-57554,CN,US_EAST,MSC,CN-US_EAST,electronics,strict,enterprise,1450605,127562,30,2026-05-09T13:27:05Z
CRIT-F57A084D,PO-64885,TW,US_WEST,Hapag-Lloyd,TW-US_WEST,pharmaceutical,strict,enterprise,813974,88839,30,2026-05-18T13:27:05Z
CRIT-4E8663A0,PO-61676,TW,US_WEST,MSC,TW-US_WEST,electronics,strict,enterprise,627944,153305,30,2026-05-13T13:27:05Z
CRIT-E9880484,PO-18765,TW,US_WEST,Maersk,TW-US_WEST,electronics,strict,enterprise,532989,72709,30,2026-05-20T13:27:05Z
CRIT-D4BFA11A,PO-95038,TW,US_WEST,MSC,TW-US_WEST,pharmaceutical,strict,enterprise,1442368,141945,30,2026-05-11T13:27:05Z
CRIT-C40C44CA,PO-46763,CN,EU,Evergreen,CN-EU,pharmaceutical,strict,enterprise,751194,141800,30,2026-05-19T13:27:05Z
CRIT-C01AC67B,PO-15122,CN,US_EAST,Maersk,CN-US_EAST,electronics,strict,enterprise,1197968,149251,30,2026-05-07T13:27:05Z
